Country	lat	long
Peru	-11.515274556334491	-76.82624716931586
Mxico	20.98217010839408	-99.57063716311377
Venezuela	10.06503910825267	-67.82157292834275
Cayman Islands	19.324786376358695	-81.36390899277174
United Kingdom	39.710782249999994	-75.09431395047618
Belgi	-35.43977654	-71.59657318
	-6.335002799999999	-65.42650473333333
Brasil	-19.22251510968579	-45.93797869305518
El Salvador	13.701282046089267	-89.23479485609336
Haiti	18.638977196659315	-72.38894894673649
Anguilla	18.191900349661015	-63.096205397966095
Colombia	6.080406874959758	-74.59474114330214
Uruguay	-33.926340200762176	-56.363804761935995
Turks and Caicos Islands	21.712998239360005	-71.93217641543998
Panama	8.81354223259111	-79.97201274477071
Antigua and Barbuda	17.09174113030019	-61.83598146080674
Rossiya	19.5697333	-77.99062415
United States	36.9443188535942	-92.41421468797074
Canada	45.5862128480192	-87.47655260011473
Saint-Martin	18.180476924074075	-60.21988329203704
Suriname	5.686264525228758	-55.23310732490196
British Virgin Islands	18.44011212263158	-64.53708536184209
India	-0.31988966999999846	-89.76644556
Ireland	39.30663547	-83.90600723
Montserrat	19.238376696	-55.784857873
Puerto Rico	18.29452677226162	-66.23586946420261
Grenada	12.051920626250002	-61.69790167174999
Saint Lucia	13.931240554166667	-60.9976924263095
Saint-Barthlemy	17.903522892444446	-62.83584291244444
Nederland	13.025458516222221	-69.570104636
Jamaica	18.067548499014006	-76.9814450938989
Portugal	39.3222144612	-9.791578528
Dominica	15.329582905135133	-61.38095197621622
New Zealand	40.4876836	-74.4503925
Rpublique Dmocratique Du Congo	4.670638	-74.106593
Argentina	-33.89365387362225	-60.69694056677902
Guatemala	14.706185296300916	-90.57222014965406
Martinique	14.612185373574265	-61.03163465119436
Barbados	13.203804590533881	-59.473691326365504
French Polynesia	-17.03403165375	-149.22058226402777
Falkland Islands (Malvinas)	-51.691798996	-58.05285432200001
Trinidad and Tobago	10.617896088049886	-61.417308994346186
Nicaragua	12.185841971085203	-86.19153570017953
Bolivia	-17.487994463567528	-65.87635403554211
Guadeloupe	16.25721058479042	-61.50910663790418
Aruba	12.53997891524675	-70.03037701366233
Costa Rica	9.96310632423962	-84.17388698841333
Bermuda	32.293001482672814	-64.78428323889403
Deutschland	10.9751787	-73.17549023333333
Norge	12.1464216	-86.211339
Honduras	14.849216636570132	-87.52067144393051
Sint Maarten	18.03574717021739	-63.08373470880434
France	-17.4250911	-56.1523899
Dominican Republic	18.70243923678475	-69.96638479235385
Belize	17.517786639203084	-88.27899424845758
Guyane Franaise	5.483863462280703	-51.58473958789473
Bahamas	25.316759908810738	-77.51546526418159
Saint Kitts and Nevis	17.287597158070177	-62.713720743157886
Nigeria	19.4203859	-99.1072665
Curaao	12.120843767836536	-68.93301076245191
Guyana	6.526946404044944	-58.2396886316854
Chile	-33.59663557725995	-71.08254939677079
Paraguay	-25.44894106897526	-57.185199068078035
Cuba	22.639712487027438	-80.98019042495427
Ecuador	-1.659379315208644	-79.45496054206339
Saint Vincent and the Grenadines	13.107803622181818	-61.21815102618181
Cook Islands	-21.135859910357144	-159.78487028249998
Italia	-25.706897400000003	-51.14761345
Espaa	3.2881546999999998	-80.93078390000001
sterreich	13.3010444	-87.181422
